s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000, 3833.2038499, 73770.7637002, -1.0423327, 0.0017863, 5.0000000, 0.0000000
0.5003158, 3833.4344588, 73770.3197013, -1.0908630, 0.0017863, 5.0000000, 0.0000000
1.0006316, 3833.6658611, 73769.8761150, -1.0899693, 0.0008932, 5.0000000, 0.0000000
1.5009474, 3833.8972635, 73769.4325286, -1.0899693, -0.0000000, 5.0000000, 0.0000000
2.0012631, 3834.1286658, 73768.9889423, -1.0899693, 0.0000000, 5.0000000, 0.0000000
2.5015789, 3834.3600681, 73768.5453560, -1.0899693, 0.0000000, 5.0000000, 0.0000000
3.0018947, 3834.5914705, 73768.1017696, -1.0899693, -0.0001767, 5.0000000, 0.0000000
3.5022105, 3834.8228728, 73767.6581833, -1.0901461, -0.0004494, 5.0000000, 0.0000000
4.0025263, 3835.0541183, 73767.2145152, -1.0904190, -0.0003689, 5.0000000, 0.0000000
4.5028421, 3835.2852785, 73766.7708026, -1.0905152, -0.0000961, 5.0000000, 0.0000000
5.0031578, 3835.5164386, 73766.3270900, -1.0905152, 0.0000000, 5.0000000, 0.0000000
5.5034736, 3835.7475988, 73765.8833774, -1.0905152, 0.0000000, 5.0000000, 0.0000000
6.0037894, 3835.9787589, 73765.4396648, -1.0905152, 0.0000151, 5.0000000, 0.0000000
6.5041052, 3836.2099191, 73764.9959522, -1.0905001, 0.0003122, 5.0000000, 0.0000000
7.0044210, 3836.4410927, 73764.5522466, -1.0902028, 0.0005790, 5.0000000, 0.0000000
7.5047368, 3836.6725166, 73764.1086715, -1.0899206, 0.0002820, 5.0000000, 0.0000000
8.0050526, 3836.9039405, 73763.6650965, -1.0899206, 0.0000000, 5.0000000, 0.0000000
8.5053683, 3837.1353645, 73763.2215214, -1.0899206, -0.0000187, 5.0000000, 0.0000000
9.0056841, 3837.3667884, 73762.7779463, -1.0899394, -0.0002041, 5.0000000, 0.0000000
9.5059999, 3837.5981957, 73762.3343626, -1.0901249, -0.0003521, 5.0000000, 0.0000000
10.0063157, 3837.8294550, 73761.8907016, -1.0902917, -0.0001667, 5.0000000, 0.0000000
10.5066315, 3838.0607144, 73761.4470407, -1.0902917, -0.0000000, 5.0000000, 0.0000000
11.0069473, 3838.2919737, 73761.0033798, -1.0902917, 0.0000000, 5.0000000, 0.0000000
11.5072630, 3838.5232330, 73760.5597189, -1.0902917, 0.0000000, 5.0000000, 0.0000000
12.0075788, 3838.7544923, 73760.1160580, -1.0902917, -0.0002939, 5.0000000, 0.0000000
12.5078946, 3838.9857516, 73759.6723971, -1.0905858, -0.0000278, 5.0000000, 0.0000000
13.0082104, 3839.2167499, 73759.2286002, -1.0903195, 0.0009668, 5.0000000, 0.0000000
13.5085262, 3839.4482455, 73758.7850627, -1.0896185, 0.0008410, 5.0000000, 0.0000000
14.0088420, 3839.6798658, 73758.3415901, -1.0894779, 0.0001405, 5.0000000, 0.0000000
14.5091577, 3839.9114860, 73757.8981175, -1.0894779, 0.0000000, 5.0000000, 0.0000000
15.0094735, 3840.1431063, 73757.4546450, -1.0894779, -0.0005135, 5.0000000, 0.0000000
15.5097893, 3840.3747266, 73757.0111724, -1.0899918, -0.0011773, 5.0000000, 0.0000000
16.0101051, 3840.6058910, 73756.5674621, -1.0906560, -0.0008140, 5.0000000, 0.0000000
16.5104209, 3840.8369220, 73756.1236822, -1.0908063, -0.0001502, 5.0000000, 0.0000000
17.0107367, 3841.0679530, 73755.6799024, -1.0908063, -0.0000000, 5.0000000, 0.0000000
17.5110525, 3841.2989840, 73755.2361225, -1.0908063, -0.0000000, 5.0000000, 0.0000000
18.0113682, 3841.5300150, 73754.7923426, -1.0908063, 0.0000399, 5.0000000, 0.0000000
18.5116840, 3841.7610460, 73754.3485628, -1.0907664, 0.0003332, 5.0000000, 0.0000000
19.0119998, 3841.9921124, 73753.9048014, -1.0904728, 0.0005468, 5.0000000, 0.0000000
19.5123156, 3842.2234039, 73753.4611572, -1.0902193, 0.0002534, 5.0000000, 0.0000000
20.0126314, 3842.4546953, 73753.0175131, -1.0902193, 0.0000000, 5.0000000, 0.0000000
20.5129472, 3842.6859868, 73752.5738689, -1.0902193, -0.0000232, 5.0000000, 0.0000000
21.0132629, 3842.9172783, 73752.1302247, -1.0902425, -0.0001431, 5.0000000, 0.0000000
21.5135787, 3843.1485491, 73751.6865698, -1.0903624, -0.0002165, 5.0000000, 0.0000000
22.0138945, 3843.3797341, 73751.2428702, -1.0904591, -0.0000966, 5.0000000, 0.0000000
22.5142103, 3843.6109192, 73750.7991706, -1.0904591, 0.0000000, 5.0000000, 0.0000000
23.0145261, 3843.8421042, 73750.3554709, -1.0904591, 0.0000000, 5.0000000, 0.0000000
23.5148419, 3844.0732892, 73749.9117713, -1.0904591, 0.0000000, 5.0000000, 0.0000000
24.0151577, 3844.3044743, 73749.4680717, -1.0904591, 0.0001142, 5.0000000, 0.0000000
24.5154734, 3844.5356593, 73749.0243720, -1.0903449, 0.0003200, 5.0000000, 0.0000000
25.0157892, 3844.7669457, 73748.5807253, -1.0901390, 0.0002974, 5.0000000, 0.0000000
25.5161050, 3844.9983135, 73748.1371209, -1.0900473, 0.0000916, 5.0000000, 0.0000000
26.0164208, 3845.2296812, 73747.6935165, -1.0900473, 0.0000000, 5.0000000, 0.0000000
26.5167366, 3845.4610490, 73747.2499121, -1.0900473, -0.0000000, 5.0000000, 0.0000000
27.0170524, 3845.6924167, 73746.8063077, -1.0900473, -0.0000000, 5.0000000, 0.0000000
27.5173681, 3845.9237844, 73746.3627033, -1.0900473, -0.0001166, 5.0000000, 0.0000000
28.0176839, 3846.1551522, 73745.9190989, -1.0901640, -0.0132052, 5.0000000, 0.0000000
28.5179997, 3846.3864161, 73745.4754412, -1.1032630, -0.0313288, 5.0000000, 0.0000000
29.0183155, 3846.6060593, 73745.0259776, -1.1215065, -0.0640859, 5.0000000, 0.0000000
29.5186313, 3846.8209853, 73744.5741809, -1.1674731, -0.1114454, 5.0000000, 0.0000000
30.0189471, 3846.9981593, 73744.1070996, -1.2328030, -0.1265155, 5.0000000, 0.0000000
30.5192629, 3847.1524364, 73743.6311674, -1.2940495, -0.1135342, 5.0000000, 0.0000000
31.0195786, 3847.2712848, 73743.1455099, -1.3463375, -0.1096590, 5.0000000, 0.0000000
31.5198944, 3847.3750299, 73742.6561883, -1.4038193, -0.1175002, 5.0000000, 0.0000000
32.0202102, 3847.4374253, 73742.1597842, -1.4638125, -0.1099343, 5.0000000, 0.0000000
32.5205260, 3847.4818131, 73741.6618745, -1.5138553, -0.1092551, 5.0000000, 0.0000000
33.0208418, 3847.4943176, 73741.1617200, -1.5730625, -0.1075649, 5.0000000, 0.0000000
33.5211576, 3847.4795473, 73740.6620464, -1.6214568, -0.1099327, 5.0000000, 0.0000000
34.0214733, 3847.4436797, 73740.1630207, -1.6830839, -0.1167614, 5.0000000, 0.0000000
34.5217891, 3847.3675437, 73739.6687708, -1.7381820, -0.1090634, 5.0000000, 0.0000000
35.0221049, 3847.2770627, 73739.1769271, -1.7922609, -0.1148784, 5.0000000, 0.0000000
35.5224207, 3847.1479675, 73738.6935599, -1.8530397, -0.1118514, 5.0000000, 0.0000000
36.0227365, 3846.9985768, 73738.2165806, -1.9041903, -0.1107281, 5.0000000, 0.0000000
36.5230523, 3846.8208161, 73737.7489134, -1.9637741, -0.1079892, 5.0000000, 0.0000000
37.0233680, 3846.6157139, 73737.2929959, -2.0122047, -0.1094413, 5.0000000, 0.0000000
37.5236838, 3846.3935737, 73736.8447010, -2.0733207, -0.1184353, 5.0000000, 0.0000000
38.0239996, 3846.1342611, 73736.4169659, -2.1306077, -0.1086966, 5.0000000, 0.0000000
38.5243154, 3845.8624943, 73735.9972610, -2.1821337, -0.1118811, 5.0000000, 0.0000000
39.0246312, 3845.5605017, 73735.5983754, -2.2424723, -0.1115397, 5.0000000, 0.0000000
39.5249470, 3845.2402843, 73735.2145929, -2.2937344, -0.0854330, 5.0000000, 0.0000000
40.0252628, 3844.8990705, 73734.8486910, -2.3278800, -0.0681084, 5.0000000, 0.0000000
40.5255785, 3844.5530666, 73734.4873136, -2.3619825, -0.1134287, 5.0000000, 0.0000000
41.0258943, 3844.1886402, 73734.1464373, -2.4412966, -0.1317622, 5.0000000, 0.0000000
41.5262101, 3843.7899600, 73733.8441715, -2.4933737, -0.0632167, 5.0000000, 0.0000000
42.0265259, 3843.3910174, 73733.5423196, -2.5047096, -0.0454644, 5.0000000, 0.0000000
42.5268417, 3842.9855862, 73733.2491680, -2.5389047, -0.1012429, 5.0000000, 0.0000000
43.0271575, 3842.5676531, 73732.9757708, -2.6059641, -0.1170852, 5.0000000, 0.0000000
43.5274732, 3842.1267071, 73732.7394208, -2.6557772, -0.0551329, 5.0000000, 0.0000000
44.0277890, 3841.6828371, 73732.5085658, -2.6612412, -0.0047042, 5.0000000, 0.0000000
44.5281048, 3841.2393158, 73732.2770388, -2.6604846, 0.0007561, 5.0000000, 0.0000000
45.0284206, 3840.7957945, 73732.0455118, -2.6604846, -0.0000000, 5.0000000, 0.0000000
45.5287364, 3840.3522732, 73731.8139848, -2.6604846, 0.0000070, 5.0000000, 0.0000000
46.0290522, 3839.9087519, 73731.5824578, -2.6604777, 0.0000181, 5.0000000, 0.0000000
46.5293680, 3839.4652338, 73731.3509247, -2.6604665, 0.0000152, 5.0000000, 0.0000000
47.0296837, 3839.0217177, 73731.1193878, -2.6604624, 0.0000041, 5.0000000, 0.0000000
47.5299995, 3838.5782015, 73730.8878510, -2.6604624, 0.0000000, 5.0000000, 0.0000000
48.0303153, 3838.1346854, 73730.6563142, -2.6604624, -0.0000023, 5.0000000, 0.0000000
48.5306311, 3837.6911692, 73730.4247773, -2.6604647, -0.0000223, 5.0000000, 0.0000000
49.0309469, 3837.2476520, 73730.1932425, -2.6604847, -0.0000377, 5.0000000, 0.0000000
49.5312627, 3836.8041266, 73729.9617234, -2.6605024, -0.0000177, 5.0000000, 0.0000000
50.0315784, 3836.3606012, 73729.7302043, -2.6605024, 0.0000000, 5.0000000, 0.0000000
50.5318942, 3835.9170758, 73729.4986852, -2.6605024, 0.0000008, 5.0000000, 0.0000000
51.0322100, 3835.4735504, 73729.2671661, -2.6605016, 0.0000129, 5.0000000, 0.0000000
51.5325258, 3835.0300253, 73729.0356463, -2.6604895, 0.0000233, 5.0000000, 0.0000000
52.0328416, 3834.5865055, 73728.8041165, -2.6604783, 0.0000112, 5.0000000, 0.0000000
52.5331574, 3834.1429857, 73728.5725866, -2.6604783, 0.0000000, 5.0000000, 0.0000000
53.0334732, 3833.6994659, 73728.3410568, -2.6604783, -0.0000000, 5.0000000, 0.0000000
53.5337889, 3833.2559460, 73728.1095270, -2.6604783, -0.0000798, 5.0000000, 0.0000000
54.0341047, 3832.8124262, 73727.8779972, -2.6605582, -0.0002240, 5.0000000, 0.0000000
54.5344205, 3832.3688694, 73727.6465383, -2.6607024, -0.0002085, 5.0000000, 0.0000000
55.0347363, 3831.9252828, 73727.4151364, -2.6607668, -0.0000643, 5.0000000, 0.0000000
55.5350521, 3831.4816962, 73727.1837346, -2.6607668, -0.0000000, 5.0000000, 0.0000000
56.0353679, 3831.0381096, 73726.9523328, -2.6607668, 0.0001535, 5.0000000, 0.0000000
56.5356836, 3830.5945230, 73726.7209309, -2.6606132, 0.0004104, 5.0000000, 0.0000000
57.0359994, 3830.1510075, 73726.4893928, -2.6603561, 0.0003604, 5.0000000, 0.0000000
57.5363152, 3829.7075400, 73726.2577629, -2.6602526, 0.0001035, 5.0000000, 0.0000000
58.0366310, 3829.2640724, 73726.0261330, -2.6602526, 0.0000000, 5.0000000, 0.0000000
58.5369468, 3828.8206049, 73725.7945031, -2.6602526, -0.0000541, 5.0000000, 0.0000000
59.0372626, 3828.3771373, 73725.5628732, -2.6603067, -0.0006894, 5.0000000, 0.0000000
59.5375783, 3827.9336447, 73725.3312913, -2.6609424, -0.0012167, 5.0000000, 0.0000000
60.0378941, 3827.4898830, 73725.1002255, -2.6615241, -0.0000217, 5.0000000, 0.0000000
60.5382099, 3827.0461213, 73724.8691597, -2.6609642, 0.0013805, 5.0000000, 0.0000000
61.0385257, 3826.6026187, 73724.6375971, -2.6601428, 0.0010731, 5.0000000, 0.0000000
61.5388415, 3826.1592372, 73724.4058025, -2.6598905, -0.0000382, 5.0000000, 0.0000000
62.0391573, 3825.7158514, 73724.1740161, -2.6601809, -0.0005714, 5.0000000, 0.0000000
62.5394731, 3825.2723353, 73723.9424792, -2.6604622, -0.0002811, 5.0000000, 0.0000000
63.0397888, 3824.8288192, 73723.7109423, -2.6604622, 0.0000000, 5.0000000, 0.0000000
63.5401046, 3824.3853031, 73723.4794054, -2.6604622, 0.0000000, 5.0000000, 0.0000000
64.0404204, 3823.9417870, 73723.2478685, -2.6604622, -0.0001571, 5.0000000, 0.0000000
64.5407362, 3823.4982709, 73723.0163316, -2.6606194, -0.0004609, 5.0000000, 0.0000000
65.0410520, 3823.0546820, 73722.7849341, -2.6609234, -0.0004504, 5.0000000, 0.0000000
65.5413678, 3822.6110252, 73722.5536668, -2.6610701, -0.0001466, 5.0000000, 0.0000000
66.0416835, 3822.1673685, 73722.3223996, -2.6610701, -0.0000000, 5.0000000, 0.0000000
66.5419993, 3821.7237117, 73722.0911323, -2.6610701, -0.0001599, 5.0000000, 0.0000000
67.0423151, 3821.2800549, 73721.8598650, -2.6612301, 0.0001546, 5.0000000, 0.0000000
67.5426309, 3820.8363242, 73721.6287398, -2.6609155, 0.0008817, 5.0000000, 0.0000000
68.0429467, 3820.3928131, 73721.3971934, -2.6603478, 0.0006602, 5.0000000, 0.0000000
68.5432625, 3819.9493450, 73721.1655645, -2.6602548, 0.0000930, 5.0000000, 0.0000000
69.0435783, 3819.5058769, 73720.9339356, -2.6602548, -0.0000000, 5.0000000, 0.0000000
69.5438940, 3819.0624088, 73720.7023067, -2.6602548, 0.0000000, 5.0000000, 0.0000000
70.0442098, 3818.6189408, 73720.4706778, -2.6602548, -0.0000809, 5.0000000, 0.0000000
70.5445256, 3818.1754727, 73720.2390489, -2.6603357, -0.0002565, 5.0000000, 0.0000000
71.0448414, 3817.7319671, 73720.0074917, -2.6605115, -0.0002703, 5.0000000, 0.0000000
71.5451572, 3817.2884177, 73719.7760187, -2.6606062, -0.0000947, 5.0000000, 0.0000000
72.0454730, 3816.8448682, 73719.5445456, -2.6606062, -0.0000000, 5.0000000, 0.0000000
72.5457887, 3816.4013188, 73719.3130726, -2.6606062, -0.0000454, 5.0000000, 0.0000000
73.0461045, 3815.9577693, 73719.0815995, -2.6606517, -0.0001470, 5.0000000, 0.0000000
73.5464203, 3815.5141989, 73718.8501668, -2.6607534, -0.0001579, 5.0000000, 0.0000000
74.0467361, 3815.0706023, 73718.6187840, -2.6608096, -0.0000562, 5.0000000, 0.0000000
74.5470519, 3814.6270058, 73718.3874012, -2.6608096, -0.0000000, 5.0000000, 0.0000000
75.0473677, 3814.1834093, 73718.1560183, -2.6608096, 0.0000081, 5.0000000, 0.0000000
75.5476835, 3813.7398128, 73717.9246355, -2.6608016, 0.0001612, 5.0000000, 0.0000000
76.0479992, 3813.2962200, 73717.6932455, -2.6606483, 0.0002982, 5.0000000, 0.0000000
76.5483150, 3812.8526944, 73717.4617268, -2.6605032, 0.0001451, 5.0000000, 0.0000000
77.0486308, 3812.4091688, 73717.2302080, -2.6605032, 0.0000000, 5.0000000, 0.0000000
77.5489466, 3811.9656432, 73716.9986892, -2.6605032, 0.0000000, 5.0000000, 0.0000000
78.0492624, 3811.5221176, 73716.7671705, -2.6605032, 0.0000000, 5.0000000, 0.0000000
78.5495782, 3811.0785920, 73716.5356517, -2.6605032, -0.0009050, 5.0000000, 0.0000000
79.0498939, 3810.6350664, 73716.3041330, -2.6614087, -0.0010259, 5.0000000, 0.0000000
79.5502097, 3810.1911227, 73716.0734181, -2.6615298, 0.0007293, 5.0000000, 0.0000000
80.0505255, 3809.7475411, 73715.8420067, -2.6606790, 0.0009164, 5.0000000, 0.0000000
80.5508413, 3809.3039902, 73715.6105366, -2.6606128, 0.0000662, 5.0000000, 0.0000000
81.0511571, 3808.8604392, 73715.3790665, -2.6606128, 0.0000159, 5.0000000, 0.0000000
81.5514729, 3808.4168882, 73715.1475963, -2.6605969, 0.0000635, 5.0000000, 0.0000000
82.0517886, 3807.9733446, 73714.9161121, -2.6605493, 0.0000792, 5.0000000, 0.0000000
82.5521044, 3807.5298157, 73714.6845997, -2.6605177, 0.0000316, 5.0000000, 0.0000000
83.0524202, 3807.0862867, 73714.4530874, -2.6605177, -0.0000000, 5.0000000, 0.0000000
83.5527360, 3806.6427578, 73714.2215751, -2.6605177, -0.0000000, 5.0000000, 0.0000000
84.0530518, 3806.1992289, 73713.9900627, -2.6605177, -0.0000203, 5.0000000, 0.0000000
84.5533676, 3805.7556999, 73713.7585504, -2.6605379, -0.0000706, 5.0000000, 0.0000000
85.0536834, 3805.3121616, 73713.5270560, -2.6605883, -0.0000805, 5.0000000, 0.0000000
85.5539991, 3804.8686093, 73713.2955884, -2.6606185, -0.0000301, 5.0000000, 0.0000000
86.0543149, 3804.4250570, 73713.0641208, -2.6606185, 0.0000000, 5.0000000, 0.0000000
86.5546307, 3803.9815047, 73712.8326532, -2.6606185, 0.0000657, 5.0000000, 0.0000000
87.0549465, 3803.5379525, 73712.6011856, -2.6605527, 0.0002170, 5.0000000, 0.0000000
87.5552623, 3803.0944306, 73712.3696596, -2.6604013, 0.0002370, 5.0000000, 0.0000000
88.0555781, 3802.6509485, 73712.1380577, -2.6603156, 0.0000856, 5.0000000, 0.0000000
88.5558938, 3802.2074663, 73711.9064557, -2.6603156, -0.0000000, 5.0000000, 0.0000000
89.0562096, 3801.7639842, 73711.6748538, -2.6603156, 0.0000000, 5.0000000, 0.0000000
89.5565254, 3801.3205020, 73711.4432518, -2.6603156, -0.0001552, 5.0000000, 0.0000000
90.0568412, 3800.8770198, 73711.2116499, -2.6604709, -0.0004629, 5.0000000, 0.0000000
90.5571570, 3800.4334658, 73710.9801857, -2.6607788, -0.0004604, 5.0000000, 0.0000000
91.0574728, 3799.9898411, 73710.7488569, -2.6609316, -0.0001526, 5.0000000, 0.0000000
91.5577886, 3799.5462164, 73710.5175282, -2.6609316, 0.0000000, 5.0000000, 0.0000000
92.0581043, 3799.1025916, 73710.2861995, -2.6609316, 0.0000838, 5.0000000, 0.0000000
92.5584201, 3798.6589669, 73710.0548707, -2.6608477, 0.0002792, 5.0000000, 0.0000000
93.0587359, 3798.2153810, 73709.8234676, -2.6606522, 0.0003071, 5.0000000, 0.0000000
93.5590517, 3797.7718468, 73709.5919654, -2.6605405, 0.0001117, 5.0000000, 0.0000000
94.0593675, 3797.3283125, 73709.3604632, -2.6605405, 0.0000000, 5.0000000, 0.0000000
94.5596833, 3796.8847783, 73709.1289610, -2.6605405, 0.0000000, 5.0000000, 0.0000000
95.0599990, 3796.4412441, 73708.8974588, -2.6605405, -0.0000362, 5.0000000, 0.0000000
95.5603148, 3795.9977099, 73708.6659565, -2.6605767, -0.0001091, 5.0000000, 0.0000000
96.0606306, 3795.5541589, 73708.4344865, -2.6606497, -0.0001096, 5.0000000, 0.0000000
96.5609464, 3795.1105909, 73708.2030490, -2.6606864, -0.0000367, 5.0000000, 0.0000000
97.0612622, 3794.6670229, 73707.9716115, -2.6606864, 0.0000000, 5.0000000, 0.0000000
97.5615780, 3794.2234549, 73707.7401740, -2.6606864, 0.0006896, 5.0000000, 0.0000000
98.0618938, 3793.7798869, 73707.5087365, -2.6599964, -0.0299242, 5.0000000, 0.0000000
98.5622095, 3793.3366393, 73707.2766873, -2.6906534, -0.0624413, 5.0000000, 0.0000000
99.0625253, 3792.8798451, 73707.0729237, -2.7224417, -0.0856558, 5.0000000, 0.0000000
99.5628411, 3792.4235688, 73706.8698646, -2.7763634, -0.1207348, 5.0000000, 0.0000000
100.0631569, 3791.9473824, 73706.7163641, -2.8428329, -0.0894450, 5.0000000, 0.0000000
100.5634727, 3791.4674034, 73706.5753869, -2.8660470, -0.0390331, 5.0000000, 0.0000000
101.0637885, 3790.9846328, 73706.4441584, -2.8818866, -0.0693025, 5.0000000, 0.0000000
101.5641042, 3790.5003700, 73706.3184395, -2.9354781, -0.1143109, 5.0000000, 0.0000000
102.0644200, 3790.0063217, 73706.2396094, -2.9960952, -0.1083903, 5.0000000, 0.0000000
102.5647358, 3789.5107467, 73706.1734271, -3.0440136, -0.1071552, 5.0000000, 0.0000000
103.0650516, 3789.0114080, 73706.1422173, -3.1032335, -0.1089404, 5.0000000, 0.0000000
103.5653674, 3788.5116532, 73706.1350839, 3.1301834, -0.1082531, 5.0000000, 0.0000000
104.0656832, 3788.0116827, 73706.1536239, 3.0716612, -0.1071615, 5.0000000, 0.0000000
104.5659989, 3787.5144472, 73706.2049339, 3.0230355, -0.1078096, 5.0000000, 0.0000000
105.0663147, 3787.0186364, 73706.2719115, 2.9637382, -0.1157287, 5.0000000, 0.0000000
105.5666305, 3786.5306885, 73706.3817683, 2.9073627, -0.1078933, 5.0000000, 0.0000000
106.0669463, 3786.0458254, 73706.5040336, 2.8557187, -0.1104916, 5.0000000, 0.0000000
106.5672621, 3785.5716554, 73706.6636519, 2.7969044, -0.1079090, 5.0000000, 0.0000000
107.0675779, 3785.1047105, 73706.8419132, 2.7477331, -0.1082929, 5.0000000, 0.0000000
107.5678937, 3784.6484945, 73707.0472933, 2.6886000, -0.1085205, 5.0000000, 0.0000000
108.0682094, 3784.2058434, 73707.2794380, 2.6392046, -0.1088746, 5.0000000, 0.0000000
108.5685252, 3783.7720979, 73707.5287920, 2.5796385, -0.1117486, 5.0000000, 0.0000000
109.0688410, 3783.3599987, 73707.8120454, 2.5274995, -0.1063834, 5.0000000, 0.0000000
